It's Not About the Bike,"Armstrong, Lance & Sally Jenkins",11/00-- 9,9
Every Second Counts,"Armstrong, Lance & Sally Jenkins1/04-- 8.2",1/04-- 8.2,8.2
Woman of the Iron People,"Arnason, Eleanor",4/94-- 8,8
Due Process,"Arnold, Catherine",2/99-- 8.5,8.5
"Hon Kong, China","Arnote, Ralph",10/96-- 6,6
True Crime,"Arnott, Jake",1/05-- 7.5,7.5
Spiked,"Arsenault, Mark",1/04-- 8.8,8.8
Speak of the Living,"Arsenault, Mark",6/05-- 7.5,7.5
"Last Goodbye, The","Arvin, Reed",4/04-- 8.2,8.2
"Will, The","Arvin, Reed",12/00-- 7.9,7.9
Stalking Horse,"Ash, Constance",no,
Tracing the Shadow,"Ash, Sarah",5/08-- 7,7
In the Red,"Ashbaugh, Regan C.",6/99-- 8.5,8.5
"Boomer, The","Asher, Marty",6/00-- 7,7
Looking Glass Justice,"Ashford, Jeffrey",1/02-- 6,6
Forward the Foundation,"Asimov, Isaac",4/93-- 8.5,8.5
Foundation,"Asimov, Isaac",yes,
Foundation and Earth,"Asimov, Isaac",yes,
Foundation and Empire,"Asimov, Isaac",yes,
Foundation Edge,"Asimov, Isaac",yes,
Foundation's Edge,"Asimov, Isaac",yes,
"I, Robot","Asimov, Isaac",No,
Nemesis,"Asimov, Isaac",No,
Nightfall,"Asimov, Isaac",No,
Pebble in the sky,"Asimov, Isaac",No,
Prelude to Foundation,"Asimov, Isaac",yes,
Posotronic Man,"Asimov, Isaac & Robert Silverberg",12/93-- 9,9
Ugly Little Boy,"Asimov, Isaac & Robert Silverberg",3/93-- 9,9
"Mercy Seat, The","Askew, Rilla",10/97-- 6.5,6.5
Sanctuary,"Aspirin, Robert Lynn",no,
Thieves' World Storm Season,"Aspirin, Robert Lynn & Lynn Abbey",5/94-- 5,5
For King & Country,"Asprin, Robert & Linda Evans",10/02-- 7.2,7.2
Aunt Dimity Beats the Devil,"Atherton, Nancy",12/00-- 7.4,7.4
Aunt Dimity Digs In,"Atherton, Nancy",4/98-- 6,6
Lullaby,"Atkins, Ace",6/12-- 8,8
Dark End of the Street,"Atkins, Ace",11/02-- 7.5,7.5
Crossroad Blues,"Atkins, Ace",12/98-- 7.2,7.2
"Ranger, The","Atkins, Ace",2/12-- 7,7
"Green Room, The","Atkinson, Deborah Turnell",12/05-- 7.5,7.5
When Will There Be Good News?,"Atkinson, Kate",4/11-- 7,7
"Dragon and the Unicorn, The","Attanasio, A. A.",11/98-- 7,7
Alias Grace,"Atwood, Margaret",11/96-- 8,8
"Handmaid's Tale, The","Atwood, Margaret",2/98-- 6.8,6.8
Cats Eye,"Atwood, Margaret",4/97-- 6,6
Oryx and Crake,"Atwood, Margaret",5/03-- 6,6
"Blind Assassin, The","Atwood, Margaret",9/00-- 5,5
"Year of the Flood, The","Atwood, Margaret",9/09-- 5,5
"Feast of Stephen, The","Aubert, Rosemary",7/99-- 7,7
"Shelters of Stone, The","Auel, Jean M.",5/02-- 8,8
Clan of the Bear,"Auel, Jean M.",Yes,
Mammoth Hunters,"Auel, Jean M.",yes,
Plains of Passage,"Auel, Jean M.",Yes,
Valley of Horses,"Auel, Jean M.",Yes,
Googled,"Auletta, Ken",12/09-- 8,8
Wild Sorrow,"Ault, Sandi",6/09-- 10,10
Wild Indigo,"Ault, Sandi",10/07-- 7,7
"Eagle Heist, The","Austin, Raymond",2/01-- 7.5,7.5
Death Lands: Demons of Eden,"Axler, James",7/97-- 7,7
Outlanders: Night Eternal,"Axler, James",11/99-- 7,7
Outlanders: Outer Darkness,"Axler, James",12/99-- 7,7
Death Lands,"Axler, James",1/01-- 6,6
Lair of the Lizard,"Ayers, E. C.",11/98-- 8,8
Night of the Panther,"Ayers, E. C.",8/97-- 6,6
Canape's for the Kitties,"Babson, Marian",1/98-- 7,7
"Cat Next Door, The","Babson, Marian",6/02-- 6,6
American Fuji,"Backer, Sara",5/01-- 9.5,9.5
Snow in Winter,"Bacon, Margaret",10/96-- 7,7
Kill Switch,"Baer, Neal & Jonathan Greene",1/12-- 9,9
Kill Switch,"Baer, Neal & Jonathan Greene",1/12-- 9,9
Blow the House Down,"Baer, Robert",5/06-- 7,7
Certifiable Insane,"Bahr, Arthur W.",4/99-- 7.7,7.7
"Black Flower, The","Bahr, Howard",6/98-- 6,6
Erased,"Bailey, Jo",7/96-- 6,6
Private Heat,"Bailey, Robert",5/02-- 8.5,8.5
Every Man For Himself,"Bainbridge, Beryl",8/96-- 6.5,6.5
Poet in the Gutter,"Baker, John",2/97-- 6,6
In the Garden of Iden,"Baker, Kage",3/98-- 7.9,7.9
Sky Coyote,"Baker, Kage",2/99-- 7.2,7.2
